id,lng,lat
SS,33.6723,30.5071
AN,32.2794,22.6543
WJ,28.9556,24.8314
BA,33.7267,25.2164
MT,27.5083,29.6121
SW,32.1523,29.6098
JS,33.7687,28.925
BS,32.4293,31.1245
DQ,31.4929,31.0304
SQ,31.8817,30.8161
IS,32.2811,30.6765
DT,31.7285,31.4067
KS,30.853,31.2075
BH,30.2522,30.5945
IK,29.754,30.8251
QH,31.5788,29.9801
JZ,29.7204,29.3499
MN,30.1604,28.2141
FY,30.4584,29.2965
BN,30.5041,28.8948
MF,31.0029,30.5076
QL,31.325,30.2725
GH,31.0287,30.8504
SJ,31.8037,26.5104
QN,32.4417,26.1216
AT,31.1431,27.2223
UQ,32.6501,25.705